"station_id","terminal_id","x_lon","y_lat","address","postcode","place","area","docks","first_hire","last_hire","is_active","hires_started","duration_started","hires_ended","duration_ended","hires_self","duration_self","hires_started_noself","duration_started_noself","hires_ended_noself","duration_ended_noself","OA","LSOA","MSOA","LAD","WARD","PCON","PCS","PCD","PCA"
75,"001060",-0.10548,51.532199,"2 Angel Mews, London EC1V 1NY, UK","EC1V1NQ","Torrens Street","Angel",19,20120104,20170919,1,97247,1107,90388,1267,1053,3120,96194,1085,89335,1245,"E00013964","E01002803","E02000573","E09000019","","","EC1V1","EC1V","EC"
76,"000976",-0.144083,51.525595,"Longford St, London NW1, UK","NW1 3PE","Longford Street","The Regent's Park",21,20120104,20170919,1,55181,1318,48100,1190,2075,3168,53106,1246,46025,1101,"E00004700","E01000944","E02000188","E09000007","","","NW1 3","NW1","NW"
77,"000978",-0.124121,51.523418,"3-29 Marchmont St, London WC1N 1AP, UK","WC1N1LE","Russell Square Station","Bloomsbury",26,20120104,20170919,1,130955,1087,125336,990,2675,3571,128280,1035,122661,934,"E00174664","E01000855","E02000193","E09000007","","","WC1N1","WC1N","WC"
78,"003433",-0.099489,51.524868,"83 Goswell Rd, London EC1V 7ER, UK","EC1V7ER","Sadlers Sports Centre","Finsbury",17,20120104,20170919,1,107750,846,107111,771,1148,2604,106602,827,105963,751,"E00174781","E01033489","E02000575","E09000019","","","EC1V7","EC1V","EC"
81,"003450",-0.141327,51.520253,"122 Great Titchfield St, Fitzrovia, London W1W 6ST, UK","W1W 6XY","Great Titchfield Street","Fitzrovia",19,20120104,20170919,1,88031,983,89441,928,1223,2933,86808,956,88218,901,"E00024122","E01004765","E02000972","E09000033","","","W1W 6","W1W","W"
82,"003453",-0.111257,51.514274,"124 Chancery Ln, London WC2A 1PT, UK","WC2A1PT","Chancery Lane","Holborn",15,20120104,20170919,1,51157,959,52609,972,329,2366,50828,950,52280,964,"E00023930","E01004735","E02000977","E09000033","","","WC2A1","WC2A","WC"
83,"003452",-0.13151,51.509639,"35 Panton St, London SW1Y 4EA, UK","SW1Y4EL","Panton Street","West End",21,20120104,20170919,1,104592,1651,114380,1786,2160,2797,102432,1627,112220,1766,"E00023929","E01004734","E02000977","E09000033","","","SW1Y4","SW1Y","SW"
85,"000994",-0.0786,51.500647,"169 Tower Bridge Rd, London SE1, UK","SE1 3LU","Tanner Street","Bermondsey",40,20120104,20170919,1,99692,1319,104180,1371,2594,3865,97098,1251,101586,1307,"E00167490","E01032646","E02000809","E09000028","","","SE1 3","SE1","SE"
86,"003434",-0.115156,51.489479,"65 Sancroft St, Lambeth, London SE11 5NG, UK","SE115NF","Sancroft Street","Vauxhall",24,20120104,20170919,1,38765,876,33953,1219,876,2433,37889,840,33077,1187,"E00015708","E01003105","E02000620","E09000022","","","SE115","SE11","SE"
87,"003438",-0.079684,51.516468,"2 Devonshire Square, London EC2M 4UJ, UK","EC2M4UJ","Devonshire Square","Liverpool Street",16,20120104,20170919,1,97368,920,98897,908,739,2686,96629,907,98158,895,"E00166755","E01032739","E02000001","E09000001","","","EC2M4","EC2M","EC"
88,"001006",-0.132053,51.518587,"13 Bayley St, Fitzrovia, London WC1B 3HD, UK","WC1B3HA","Bayley Street","Bloomsbury",25,20120104,20170919,1,110394,1116,114557,1127,1853,2497,108541,1092,112704,1105,"E00004195","E01000850","E02000191","E09000007","","","WC1B3","WC1B","WC"
89,"003439",-0.123509,51.52625,"68 Tavistock Pl, Kings Cross, London WC1H 9RW, UK","WC1H9RW","Tavistock Place","Bloomsbury",18,20120104,20170919,1,87848,1008,81029,999,1448,2713,86400,979,79581,968,"E00174665","E01000937","E02000190","E09000007","","","WC1H9","WC1H","WC"
90,"001038",-0.139174,51.533019,"263 Hampstead Rd, Kings Cross, London NW1 3EA, UK","NW1 7DF","Harrington Square 1","Camden Town",27,20120104,20170919,1,24490,1412,19042,1288,329,3475,24161,1384,18713,1250,"E00004707","E01000947","E02000186","E09000007","","","NW1 7","NW1","NW"
91,"001076",-0.111014,51.493686,"126-134 A23, Lambeth, London SE11, UK","SE116RB","Walnut Tree Walk","Vauxhall",20,20120104,20170919,1,55467,888,48875,951,1021,2482,54446,858,47854,918,"E00015194","E01003015","E02000619","E09000022","","","SE116","SE11","SE"
92,"001082",-0.10044,51.498898,"44 Borough Rd, London SE1, UK","SE1 0AJ","Borough Road","Elephant & Castle",41,20120104,20170919,1,48042,1028,52232,1004,940,2726,47102,994,51292,972,"E00019801","E01003932","E02006802","E09000028","","","SE1 0","SE1","SE"
93,"002586",-0.109025,51.534408,"12 Cloudesley Rd, London N1 0EQ, UK","N1  0EQ","Cloudesley Road","Angel",37,20120104,20170919,1,77450,1375,50983,1877,2053,4609,75397,1286,48930,1762,"E00013420","E01002696","E02000573","E09000019","","","N1  0","N1","N"
94,"001070",-0.085814,51.495061,"Great Dover St, London SE1 4TD, UK","SE1 4TD","Bricklayers Arms","Borough",28,20120104,20170919,1,91251,1233,85423,1461,2208,5684,89043,1123,83215,1349,"E00167755","E01003941","E02000812","E09000028","","","SE1 4","SE1","SE"
95,"001065",-0.09734,51.520841,"Barbican Medical Physiotherapy, 3 White Lyon Ct, London EC2Y 8EA, UK","EC1A4JR","Aldersgate Street","Barbican",15,20120104,20170919,1,176237,796,182068,781,1622,2223,174615,783,180446,768,"E00166756","E01000001","E02000001","E09000001","","","EC1A4","EC1A","EC"
96,"001047",-0.078505,51.53095,"28 Jerrold St, London N1, UK","N1  6RU","Falkirk Street","Hoxton",26,20120104,20170919,1,61294,1203,56437,1215,1444,3940,59850,1137,54993,1143,"E00008861","E01033706","E02000371","E09000012","","","N1  6","N1","N"
97,"003447",-0.183834,51.497924,"52 Gloucester Rd, Kensington, London SW7, UK","SW7 4UB","Gloucester Road (North)","Kensington",18,20120104,20170919,1,77584,1335,78368,1140,2620,3641,74964,1255,75748,1054,"E00014537","E01002890","E02000586","E09000020","","","SW7 4","SW7","SW"
98,"000972",-0.138231,51.525542,"A400, Kings Cross, London NW1 2PG, UK","NW1 2AF","Hampstead Road","Euston",54,20120104,20170919,1,101483,1161,78757,1206,1371,3659,100112,1127,77386,1163,"E00004699","E01000946","E02000186","E09000007","","","NW1 2","NW1","NW"
